,RunId,iteration,Step,width,height,N,seed,Gini,AgentID,Wealth
1255210,108,0,100,10,10,220,3,0.6887603305785125,0,1
1277430,109,0,100,10,10,220,4,0.6483057851239671,0,0
1300650,110,0,100,10,10,230,0,0.6125141776937617,0,0
1323880,111,0,100,10,10,230,1,0.6651795841209829,0,1
1347110,112,0,100,10,10,230,2,0.6561814744801512,0,0
1370340,113,0,100,10,10,230,3,0.6308506616257088,0,2
1393570,114,0,100,10,10,230,4,0.637429111531191,0,5
1417800,115,0,100,10,10,240,0,0.6302430555555556,0,0
1442040,116,0,100,10,10,240,1,0.6790277777777778,0,4
1466280,117,0,100,10,10,240,2,0.6606944444444445,0,2
1490520,118,0,100,10,10,240,3,0.6525347222222222,0,1
1514760,119,0,100,10,10,240,4,0.6782291666666667,0,1
1540000,120,0,100,10,10,250,0,0.6685760000000001,0,2
1565250,121,0,100,10,10,250,1,0.618912,0,0
1590500,122,0,100,10,10,250,2,0.627392,0,1
1615750,123,0,100,10,10,250,3,0.699328,0,1
1641000,124,0,100,10,10,250,4,0.673728,0,0
1667250,125,0,100,10,10,260,0,0.6702366863905325,0,0
1693510,126,0,100,10,10,260,1,0.6467455621301774,0,2
1719770,127,0,100,10,10,260,2,0.6573372781065089,0,2
1746030,128,0,100,10,10,260,3,0.6657988165680473,0,0
1772290,129,0,100,10,10,260,4,0.6922781065088757,0,0
1799550,130,0,100,10,10,270,0,0.6710562414266119,0,2
1826820,131,0,100,10,10,270,1,0.6386008230452676,0,4
1854090,132,0,100,10,10,270,2,0.6380246913580248,0,4
1881360,133,0,100,10,10,270,3,0.6736899862825789,0,2
1908630,134,0,100,10,10,270,4,0.6359945130315501,0,1
1936900,135,0,100,10,10,280,0,0.6886479591836734,0,1
1965180,136,0,100,10,10,280,1,0.640765306122449,0,0
1993460,137,0,100,10,10,280,2,0.6458418367346939,0,1
2021740,138,0,100,10,10,280,3,0.6403826530612244,0,1
2050020,139,0,100,10,10,280,4,0.6389030612244898,0,1
2079300,140,0,100,10,10,290,0,0.6515101070154576,0,1
2108590,141,0,100,10,10,290,1,0.664732461355529,0,1
2137880,142,0,100,10,10,290,2,0.6755766944114149,0,1
2167170,143,0,100,10,10,290,3,0.6159809750297265,0,3
2196460,144,0,100,10,10,290,4,0.6851843043995243,0,0
